prefecture,category,pop_total
三重県,0_公共交通便利地域,547211
三重県,1_公共交通不便地域,843807
三重県,2_公共交通空白地域,375436
京都府,0_公共交通便利地域,1351726
京都府,1_公共交通不便地域,979595
京都府,2_公共交通空白地域,247683
佐賀県,0_公共交通便利地域,148329
佐賀県,1_公共交通不便地域,452607
佐賀県,2_公共交通空白地域,208109
兵庫県,0_公共交通便利地域,2402561
兵庫県,1_公共交通不便地域,2412054
兵庫県,2_公共交通空白地域,644268
北海道,0_公共交通便利地域,1567913
北海道,1_公共交通不便地域,3012432
北海道,2_公共交通空白地域,632480
千葉県,0_公共交通便利地域,2351652
千葉県,1_公共交通不便地域,3056571
千葉県,2_公共交通空白地域,873836
和歌山県,0_公共交通便利地域,273958
和歌山県,1_公共交通不便地域,403140
和歌山県,2_公共交通空白地域,242818
埼玉県,0_公共交通便利地域,2303114
埼玉県,1_公共交通不便地域,4114813
埼玉県,2_公共交通空白地域,926220
大分県,0_公共交通便利地域,208970
大分県,1_公共交通不便地域,686258
大分県,2_公共交通空白地域,224374
大阪府,0_公共交通便利地域,5333934
大阪府,1_公共交通不便地域,2728518
大阪府,2_公共交通空白地域,771771
奈良県,0_公共交通便利地域,583796
奈良県,1_公共交通不便地域,522275
奈良県,2_公共交通空白地域,217329
宮城県,0_公共交通便利地域,689152
宮城県,1_公共交通不便地域,1148300
宮城県,2_公共交通空白地域,463383
宮崎県,0_公共交通便利地域,165136
宮崎県,1_公共交通不便地域,645869
宮崎県,2_公共交通空白地域,257635
富山県,0_公共交通便利地域,338517
富山県,1_公共交通不便地域,426277
富山県,2_公共交通空白地域,268382
山口県,0_公共交通便利地域,303982
山口県,1_公共交通不便地域,700152
山口県,2_公共交通空白地域,328990
山形県,0_公共交通便利地域,177978
山形県,1_公共交通不便地域,554083
山形県,2_公共交通空白地域,335001
山梨県,0_公共交通便利地域,153608
山梨県,1_公共交通不便地域,441945
山梨県,2_公共交通空白地域,214479
岐阜県,0_公共交通便利地域,438801
岐阜県,1_公共交通不便地域,1054165
岐阜県,2_公共交通空白地域,485825
岡山県,0_公共交通便利地域,412613
岡山県,1_公共交通不便地域,824357
岡山県,2_公共交通空白地域,646699
岩手県,0_公共交通便利地域,217650
岩手県,1_公共交通不便地域,646059
岩手県,2_公共交通空白地域,346146
島根県,0_公共交通便利地域,129557
島根県,1_公共交通不便地域,363987
島根県,2_公共交通空白地域,174762
広島県,0_公共交通便利地域,972238
広島県,1_公共交通不便地域,1355984
広島県,2_公共交通空白地域,455724
徳島県,0_公共交通便利地域,157494
徳島県,1_公共交通不便地域,311359
徳島県,2_公共交通空白地域,248546
愛媛県,0_公共交通便利地域,400385
愛媛県,1_公共交通不便地域,535284
愛媛県,2_公共交通空白地域,387923
愛知県,0_公共交通便利地域,3211816
愛知県,1_公共交通不便地域,3305839
愛知県,2_公共交通空白地域,1021007
新潟県,0_公共交通便利地域,433557
新潟県,1_公共交通不便地域,1324478
新潟県,2_公共交通空白地域,439575
東京都,0_公共交通便利地域,9489965
東京都,1_公共交通不便地域,4204093
東京都,2_公共交通空白地域,344697
栃木県,0_公共交通便利地域,353278
栃木県,1_公共交通不便地域,850601
栃木県,2_公共交通空白地域,729290
沖縄県,0_公共交通便利地域,179760
沖縄県,1_公共交通不便地域,999537
沖縄県,2_公共交通空白地域,278814
滋賀県,0_公共交通便利地域,396251
滋賀県,1_公共交通不便地域,733973
滋賀県,2_公共交通空白地域,283429
熊本県,0_公共交通便利地域,368723
熊本県,1_公共交通不便地域,881415
熊本県,2_公共交通空白地域,478825
石川県,0_公共交通便利地域,248744
石川県,1_公共交通不便地域,704259
石川県,2_公共交通空白地域,176175
神奈川県,0_公共交通便利地域,4110689
神奈川県,1_公共交通不便地域,4523321
神奈川県,2_公共交通空白地域,590739
福井県,0_公共交通便利地域,226304
福井県,1_公共交通不便地域,439566
福井県,2_公共交通空白地域,98757
福岡県,0_公共交通便利地域,2008513
福岡県,1_公共交通不便地域,2415941
福岡県,2_公共交通空白地域,703710
福島県,0_公共交通便利地域,289503
福島県,1_公共交通不便地域,947925
福島県,2_公共交通空白地域,595477
秋田県,0_公共交通便利地域,155390
秋田県,1_公共交通不便地域,561829
秋田県,2_公共交通空白地域,241786
群馬県,0_公共交通便利地域,342073
群馬県,1_公共交通不便地域,1035844
群馬県,2_公共交通空白地域,561236
茨城県,0_公共交通便利地域,387936
茨城県,1_公共交通不便地域,1555874
茨城県,2_公共交通空白地域,922376
長崎県,0_公共交通便利地域,331648
長崎県,1_公共交通不便地域,715253
長崎県,2_公共交通空白地域,241046
長野県,0_公共交通便利地域,497025
長野県,1_公共交通不便地域,967002
長野県,2_公共交通空白地域,584002
青森県,0_公共交通便利地域,236957
青森県,1_公共交通不便地域,713661
青森県,2_公共交通空白地域,281964
静岡県,0_公共交通便利地域,696699
静岡県,1_公共交通不便地域,2209288
静岡県,2_公共交通空白地域,722401
香川県,0_公共交通便利地域,300624
香川県,1_公共交通不便地域,367836
香川県,2_公共交通空白地域,275694
高知県,0_公共交通便利地域,246644
高知県,1_公共交通不便地域,283478
高知県,2_公共交通空白地域,158341
鳥取県,0_公共交通便利地域,107845
鳥取県,1_公共交通不便地域,320818
鳥取県,2_公共交通空白地域,123626
鹿児島県,0_公共交通便利地域,311579
鹿児島県,1_公共交通不便地域,954523
鹿児島県,2_公共交通空白地域,312843
