category,mesh_code,pop_total
0_公共交通便利地域,3927,194433
0_公共交通便利地域,4630,28956
0_公共交通便利地域,4730,318265
0_公共交通便利地域,4731,148572
0_公共交通便利地域,4830,85422
0_公共交通便利地域,4831,61336
0_公共交通便利地域,4929,341946
0_公共交通便利地域,4930,742656
0_公共交通便利地域,4931,225767
0_公共交通便利地域,4932,37104
0_公共交通便利地域,4933,11078
0_公共交通便利地域,5029,42358
0_公共交通便利地域,5030,2186959
0_公共交通便利地域,5031,138007
0_公共交通便利地域,5032,351875
0_公共交通便利地域,5033,300958
0_公共交通便利地域,5034,40003
0_公共交通便利地域,5035,74535
0_公共交通便利地域,5036,15490
0_公共交通便利地域,5130,46222
0_公共交通便利地域,5131,186433
0_公共交通便利地域,5132,989966
0_公共交通便利地域,5133,598459
0_公共交通便利地域,5134,453696
0_公共交通便利地域,5135,3684466
0_公共交通便利地域,5136,160522
0_公共交通便利地域,5137,5322
0_公共交通便利地域,5231,8580
0_公共交通便利地域,5232,65820
0_公共交通便利地域,5233,156635
0_公共交通便利地域,5234,687985
0_公共交通便利地域,5235,6874542
0_公共交通便利地域,5236,3143177
0_公共交通便利地域,5237,1361237
0_公共交通便利地域,5238,543165
0_公共交通便利地域,5239,698263
0_公共交通便利地域,5240,36946
0_公共交通便利地域,5332,60041
0_公共交通便利地域,5333,124874
0_公共交通便利地域,5334,84340
0_公共交通便利地域,5335,59443
0_公共交通便利地域,5336,536266
0_公共交通便利地域,5337,239515
0_公共交通便利地域,5338,198008
0_公共交通便利地域,5339,18133408
0_公共交通便利地域,5340,1576938
0_公共交通便利地域,5436,421590
0_公共交通便利地域,5437,210612
0_公共交通便利地域,5438,317997
0_公共交通便利地域,5439,1289880
0_公共交通便利地域,5440,288687
0_公共交通便利地域,5536,79469
0_公共交通便利地域,5537,314220
0_公共交通便利地域,5538,193696
0_公共交通便利地域,5539,60819
0_公共交通便利地域,5540,142189
0_公共交通便利地域,5541,1552
0_公共交通便利地域,5638,219078
0_公共交通便利地域,5639,267978
0_公共交通便利地域,5640,243853
0_公共交通便利地域,5641,738
0_公共交通便利地域,5739,26878
0_公共交通便利地域,5740,786039
0_公共交通便利地域,5741,153835
0_公共交通便利地域,5839,44514
0_公共交通便利地域,5840,50428
0_公共交通便利地域,5841,120306
0_公共交通便利地域,5939,13297
0_公共交通便利地域,5940,126761
0_公共交通便利地域,5941,159609
0_公共交通便利地域,6039,2821
0_公共交通便利地域,6040,138646
0_公共交通便利地域,6041,100528
0_公共交通便利地域,6139,370
0_公共交通便利地域,6140,117214
0_公共交通便利地域,6141,25309
0_公共交通便利地域,6240,126852
0_公共交通便利地域,6340,43907
0_公共交通便利地域,6341,75698
0_公共交通便利地域,6342,14183
0_公共交通便利地域,6440,28728
0_公共交通便利地域,6441,1301831
0_公共交通便利地域,6442,14039
0_公共交通便利地域,6443,42612
0_公共交通便利地域,6444,31140
0_公共交通便利地域,6445,10659
0_公共交通便利地域,6541,35931
0_公共交通便利地域,6542,102699
0_公共交通便利地域,6543,29376
0_公共交通便利地域,6544,14215
0_公共交通便利地域,6545,123
0_公共交通便利地域,6642,18585
0_公共交通便利地域,6643,4311
0_公共交通便利地域,6644,6822
0_公共交通便利地域,6741,3895
0_公共交通便利地域,6742,1813
0_公共交通便利地域,6841,5813
1_公共交通不便地域,3623,1901
1_公共交通不便地域,3624,40943
1_公共交通不便地域,3725,33356
1_公共交通不便地域,3927,884584
1_公共交通不便地域,3928,9644
1_公共交通不便地域,4027,11612
1_公共交通不便地域,4028,3631
1_公共交通不便地域,4128,14179
1_公共交通不便地域,4129,4661
1_公共交通不便地域,4229,47082
1_公共交通不便地域,4530,17389
1_公共交通不便地域,4531,26
1_公共交通不便地域,4630,46829
1_公共交通不便地域,4631,2934
1_公共交通不便地域,4729,3077
1_公共交通不便地域,4730,699764
1_公共交通不便地域,4731,404545
1_公共交通不便地域,4828,6456
1_公共交通不便地域,4829,16396
1_公共交通不便地域,4830,288678
1_公共交通不便地域,4831,190971
1_公共交通不便地域,4928,16538
1_公共交通不便地域,4929,521246
1_公共交通不便地域,4930,1201483
1_公共交通不便地域,4931,495117
1_公共交通不便地域,4932,74471
1_公共交通不便地域,4933,10420
1_公共交通不便地域,4934,6863
1_公共交通不便地域,4939,5694
1_公共交通不便地域,5029,72717
1_公共交通不便地域,5030,2040936
1_公共交通不便地域,5031,271042
1_公共交通不便地域,5032,277126
1_公共交通不便地域,5033,339103
1_公共交通不便地域,5034,53373
1_公共交通不便地域,5035,100777
1_公共交通不便地域,5036,11698
1_公共交通不便地域,5129,18865
1_公共交通不便地域,5130,32208
1_公共交通不便地域,5131,353154
1_公共交通不便地域,5132,922168
1_公共交通不便地域,5133,1064155
1_公共交通不便地域,5134,486567
1_公共交通不便地域,5135,1715810
1_公共交通不便地域,5136,289628
1_公共交通不便地域,5137,32521
1_公共交通不便地域,5138,32766
1_公共交通不便地域,5139,1986
1_公共交通不便地域,5229,576
1_公共交通不便地域,5231,27158
1_公共交通不便地域,5232,106230
1_公共交通不便地域,5233,211168
1_公共交通不便地域,5234,926788
1_公共交通不便地域,5235,3573155
1_公共交通不便地域,5236,2267721
1_公共交通不便地域,5237,2106542
1_公共交通不便地域,5238,1361589
1_公共交通不便地域,5239,708418
1_公共交通不便地域,5240,33454
1_公共交通不便地域,5332,65641
1_公共交通不便地域,5333,310013
1_公共交通不便地域,5334,221530
1_公共交通不便地域,5335,128270
1_公共交通不便地域,5336,967032
1_公共交通不便地域,5337,316409
1_公共交通不便地域,5338,437261
1_公共交通不便地域,5339,10844897
1_公共交通不便地域,5340,1889891
1_公共交通不便地域,5433,8927
1_公共交通不便地域,5435,107
1_公共交通不便地域,5436,824967
1_公共交通不便地域,5437,328853
1_公共交通不便地域,5438,683349
1_公共交通不便地域,5439,2281620
1_公共交通不便地域,5440,929340
1_公共交通不便地域,5536,125239
1_公共交通不便地域,5537,260320
1_公共交通不便地域,5538,328036
1_公共交通不便地域,5539,82511
